t_ms,t_ms_rel,t_s_rel,servo_deg,v_div,v_rf,v_photo,r_m,B_exp,L_exp,V_in,P_in,B_teo,L_teo,err_B_abs,err_L_abs,err_B_rel,err_L_rel
1654532,0,0.000000,0,1.166100,0.838900,0.178100,0.392460,0.838900,0.178100,12.879918,8.446654,0.764409,6.492453,0.074491,-6.314353,0.097450,-0.972568
1654582,50,0.050000,0,1.151600,0.779300,0.167600,0.392460,0.779300,0.167600,12.719761,8.237898,0.764409,6.492453,0.014891,-6.324853,0.019481,-0.974185
1654632,100,0.100000,0,1.161200,0.751100,0.175700,0.392460,0.751100,0.175700,12.825796,8.375817,0.764409,6.492453,-0.013309,-6.316753,-0.017411,-0.972938
1654682,150,0.150000,0,1.173300,0.737400,0.183700,0.392460,0.737400,0.183700,12.959444,8.551282,0.764409,6.492453,-0.027009,-6.308753,-0.035333,-0.971706
1654732,200,0.200000,0,1.162900,0.734900,0.193400,0.392460,0.734900,0.193400,12.844573,8.400359,0.764409,6.492453,-0.029509,-6.299053,-0.038603,-0.970212
1654782,250,0.250000,0,1.183800,0.749500,0.174100,0.392460,0.749500,0.174100,13.075420,8.705020,0.764409,6.492453,-0.014909,-6.318353,-0.019504,-0.973184
1654832,300,0.300000,0,1.174100,0.752700,0.182900,0.392460,0.752700,0.182900,12.968280,8.562948,0.764409,6.492453,-0.011709,-6.309553,-0.015317,-0.971829
1654882,350,0.350000,0,1.158000,0.809900,0.178100,0.392460,0.809900,0.178100,12.790451,8.329717,0.764409,6.492453,0.045491,-6.314353,0.059512,-0.972568
1654932,400,0.400000,0,1.161200,0.760700,0.177300,0.392460,0.760700,0.177300,12.825796,8.375817,0.764409,6.492453,-0.003709,-6.315153,-0.004852,-0.972691
1654982,450,0.450000,0,1.153200,0.786500,0.178900,0.392460,0.786500,0.178900,12.737434,8.260805,0.764409,6.492453,0.022091,-6.313553,0.028900,-0.972445
1655032,500,0.500000,0,1.158000,0.848600,0.195800,0.392460,0.848600,0.195800,12.790451,8.329717,0.764409,6.492453,0.084191,-6.296653,0.110139,-0.969842
1655082,550,0.550000,0,1.159600,0.776800,0.180500,0.392460,0.776800,0.180500,12.808123,8.352751,0.764409,6.492453,0.012391,-6.311953,0.016210,-0.972198
1655132,600,0.600000,0,1.173300,0.614100,0.176500,0.392460,0.614100,0.176500,12.959444,8.551282,0.764409,6.492453,-0.150309,-6.315953,-0.196634,-0.972815
1655182,650,0.650000,0,1.169300,0.788100,0.182900,0.392460,0.788100,0.182900,12.915263,8.493076,0.764409,6.492453,0.023691,-6.309553,0.030993,-0.971829
1655232,700,0.700000,0,1.147500,0.817900,0.167600,0.392460,0.817900,0.167600,12.674475,8.179344,0.764409,6.492453,0.053491,-6.324853,0.069977,-0.974185
1655282,750,0.750000,0,1.156400,0.710800,0.181300,0.392460,0.710800,0.181300,12.772778,8.306714,0.764409,6.492453,-0.053609,-6.311153,-0.070131,-0.972075
1655332,800,0.800000,0,1.158000,0.770400,0.178900,0.392460,0.770400,0.178900,12.790451,8.329717,0.764409,6.492453,0.005991,-6.313553,0.007838,-0.972445
1655382,850,0.850000,0,1.170900,0.722100,0.189400,0.392460,0.722100,0.189400,12.932935,8.516335,0.764409,6.492453,-0.042309,-6.303053,-0.055348,-0.970828
1655432,900,0.900000,0,1.171700,0.735800,0.178100,0.392460,0.735800,0.178100,12.941771,8.527976,0.764409,6.492453,-0.028609,-6.314353,-0.037426,-0.972568
1655482,950,0.950000,0,1.167700,0.743800,0.172500,0.392460,0.743800,0.172500,12.897590,8.469849,0.764409,6.492453,-0.020609,-6.319953,-0.026960,-0.973431
1655532,1000,1.000000,0,1.190300,0.763200,0.181300,0.392460,0.763200,0.181300,13.147214,8.800878,0.764409,6.492453,-0.001209,-6.311153,-0.001581,-0.972075
1655582,1050,1.050000,0,1.155600,0.694700,0.193400,0.392460,0.694700,0.193400,12.763942,8.295225,0.764409,6.492453,-0.069709,-6.299053,-0.091193,-0.970212
1655632,1100,1.100000,0,1.169300,0.716400,0.173300,0.392460,0.716400,0.173300,12.915263,8.493076,0.764409,6.492453,-0.048009,-6.319153,-0.062805,-0.973307
1655682,1150,1.150000,0,1.162900,0.763200,0.175700,0.392460,0.763200,0.175700,12.844573,8.400359,0.764409,6.492453,-0.001209,-6.316753,-0.001581,-0.972938
1655732,1200,1.200000,0,1.170900,0.776000,0.181300,0.392460,0.776000,0.181300,12.932935,8.516335,0.764409,6.492453,0.011591,-6.311153,0.015164,-0.972075
1655782,1250,1.250000,0,1.174900,0.723700,0.173300,0.392460,0.723700,0.173300,12.977116,8.574621,0.764409,6.492453,-0.040709,-6.319153,-0.053255,-0.973307
1655832,1300,1.300000,0,1.178200,0.710000,0.166800,0.392460,0.710000,0.166800,13.013566,8.622856,0.764409,6.492453,-0.054409,-6.325653,-0.071178,-0.974309
1655882,1350,1.350000,0,1.159600,0.778500,0.182100,0.392460,0.778500,0.182100,12.808123,8.352751,0.764409,6.492453,0.014091,-6.310353,0.018434,-0.971952
1655932,1400,1.400000,0,1.158000,0.734900,0.191000,0.392460,0.734900,0.191000,12.790451,8.329717,0.764409,6.492453,-0.029509,-6.301453,-0.038603,-0.970581
1655982,1450,1.450000,0,1.164500,0.757500,0.191800,0.392460,0.757500,0.191800,12.862245,8.423491,0.764409,6.492453,-0.006909,-6.300653,-0.009038,-0.970458
1656032,1500,1.500000,0,1.162900,0.744600,0.173300,0.392460,0.744600,0.173300,12.844573,8.400359,0.764409,6.492453,-0.019809,-6.319153,-0.025914,-0.973307
1656082,1550,1.550000,0,1.168500,0.731700,0.174900,0.392460,0.731700,0.174900,12.906427,8.481459,0.764409,6.492453,-0.032709,-6.317553,-0.042790,-0.973061
1656132,1600,1.600000,0,1.149200,0.784900,0.181300,0.392460,0.784900,0.181300,12.693252,8.203598,0.764409,6.492453,0.020491,-6.311153,0.026807,-0.972075
1656182,1650,1.650000,0,1.155600,0.657600,0.176500,0.392460,0.657600,0.176500,12.763942,8.295225,0.764409,6.492453,-0.106809,-6.315953,-0.139727,-0.972815
1656232,1700,1.700000,0,1.165300,0.810700,0.168400,0.392460,0.810700,0.168400,12.871082,8.435068,0.764409,6.492453,0.046291,-6.324053,0.060558,-0.974062
1656282,1750,1.750000,0,1.150800,0.801800,0.167600,0.392460,0.801800,0.167600,12.710925,8.226457,0.764409,6.492453,0.037391,-6.324853,0.048915,-0.974185
1656332,1800,1.800000,0,1.161200,0.788900,0.193400,0.392460,0.788900,0.193400,12.825796,8.375817,0.764409,6.492453,0.024491,-6.299053,0.032039,-0.970212
1656382,1850,1.850000,0,1.164500,0.686600,0.172500,0.392460,0.686600,0.172500,12.862245,8.423491,0.764409,6.492453,-0.077809,-6.319953,-0.101789,-0.973431
1656432,1900,1.900000,0,1.166100,0.786500,0.178100,0.392460,0.786500,0.178100,12.879918,8.446654,0.764409,6.492453,0.022091,-6.314353,0.028900,-0.972568
1656482,1950,1.950000,0,1.164500,0.790500,0.193400,0.392460,0.790500,0.193400,12.862245,8.423491,0.764409,6.492453,0.026091,-6.299053,0.034133,-0.970212
1656532,2000,2.000000,0,1.154800,0.952500,0.168400,0.392460,0.952500,0.168400,12.755106,8.283744,0.764409,6.492453,0.188091,-6.324053,0.246061,-0.974062
1656582,2050,2.050000,0,1.160400,0.737400,0.186200,0.392460,0.737400,0.186200,12.816960,8.364280,0.764409,6.492453,-0.027009,-6.306253,-0.035333,-0.971321
1656632,2100,2.100000,0,1.170900,0.740600,0.179700,0.392460,0.740600,0.179700,12.932935,8.516335,0.764409,6.492453,-0.023809,-6.312753,-0.031147,-0.972322
1656682,2150,2.150000,0,1.162900,0.769600,0.157100,0.392460,0.769600,0.157100,12.844573,8.400359,0.764409,6.492453,0.005191,-6.335353,0.006791,-0.975803
1656732,2200,2.200000,0,1.174100,0.760700,0.167600,0.392460,0.760700,0.167600,12.968280,8.562948,0.764409,6.492453,-0.003709,-6.324853,-0.004852,-0.974185
1656782,2250,2.250000,0,1.162100,0.722100,0.181300,0.392460,0.722100,0.181300,12.835737,8.388805,0.764409,6.492453,-0.042309,-6.311153,-0.055348,-0.972075
1656832,2300,2.300000,0,1.170100,0.573000,0.178900,0.392460,0.573000,0.178900,12.924099,8.504701,0.764409,6.492453,-0.191409,-6.313553,-0.250401,-0.972445
1656882,2350,2.350000,0,1.170900,0.722900,0.171600,0.392460,0.722900,0.171600,12.932935,8.516335,0.764409,6.492453,-0.041509,-6.320853,-0.054302,-0.973569
1656932,2400,2.400000,0,1.159600,0.725300,0.156300,0.392460,0.725300,0.156300,12.808123,8.352751,0.764409,6.492453,-0.039109,-6.336153,-0.051162,-0.975926
1656982,2450,2.450000,0,1.165300,0.627800,0.179700,0.392460,0.627800,0.179700,12.871082,8.435068,0.764409,6.492453,-0.136609,-6.312753,-0.178712,-0.972322
1657032,2500,2.500000,0,1.162900,0.740600,0.184500,0.392460,0.740600,0.184500,12.844573,8.400359,0.764409,6.492453,-0.023809,-6.307953,-0.031147,-0.971582
1657082,2550,2.550000,0,1.168500,0.730900,0.171600,0.392460,0.730900,0.171600,12.906427,8.481459,0.764409,6.492453,-0.033509,-6.320853,-0.043836,-0.973569
1657132,2600,2.600000,0,1.154800,0.709200,0.167600,0.392460,0.709200,0.167600,12.755106,8.283744,0.764409,6.492453,-0.055209,-6.324853,-0.072224,-0.974185
1657182,2650,2.650000,0,1.166100,0.730100,0.179700,0.392460,0.730100,0.179700,12.879918,8.446654,0.764409,6.492453,-0.034309,-6.312753,-0.044883,-0.972322
1657232,2700,2.700000,0,1.171700,0.747800,0.178100,0.392460,0.747800,0.178100,12.941771,8.527976,0.764409,6.492453,-0.016609,-6.314353,-0.021728,-0.972568
1657282,2750,2.750000,0,1.166100,0.735800,0.167600,0.392460,0.735800,0.167600,12.879918,8.446654,0.764409,6.492453,-0.028609,-6.324853,-0.037426,-0.974185
1657332,2800,2.800000,0,1.156400,0.836500,0.184500,0.392460,0.836500,0.184500,12.772778,8.306714,0.764409,6.492453,0.072091,-6.307953,0.094310,-0.971582
1657382,2850,2.850000,0,1.166100,0.654400,0.167600,0.392460,0.654400,0.167600,12.879918,8.446654,0.764409,6.492453,-0.110009,-6.324853,-0.143914,-0.974185
1657432,2900,2.900000,0,1.169300,0.714000,0.193400,0.392460,0.714000,0.193400,12.915263,8.493076,0.764409,6.492453,-0.050409,-6.299053,-0.065945,-0.970212
1657482,2950,2.950000,0,1.163700,0.763200,0.180500,0.392460,0.763200,0.180500,12.853409,8.411921,0.764409,6.492453,-0.001209,-6.311953,-0.001581,-0.972198
1657532,3000,3.000000,0,1.153200,0.734100,0.172500,0.392460,0.734100,0.172500,12.737434,8.260805,0.764409,6.492453,-0.030309,-6.319953,-0.039650,-0.973431
1657582,3050,3.050000,0,1.157200,0.835700,0.174900,0.392460,0.835700,0.174900,12.781615,8.318212,0.764409,6.492453,0.071291,-6.317553,0.093263,-0.973061
1657632,3100,3.100000,0,1.167700,0.744600,0.145900,0.392460,0.744600,0.145900,12.897590,8.469849,0.764409,6.492453,-0.019809,-6.346553,-0.025914,-0.977528
1657682,3150,3.150000,0,1.167700,0.844500,0.167600,0.392460,0.844500,0.167600,12.897590,8.469849,0.764409,6.492453,0.080091,-6.324853,0.104775,-0.974185
1657732,3200,3.200000,0,1.165300,0.748600,0.164400,0.392460,0.748600,0.164400,12.871082,8.435068,0.764409,6.492453,-0.015809,-6.328053,-0.020681,-0.974678
1657782,3250,3.250000,0,1.168500,0.713200,0.166000,0.392460,0.713200,0.166000,12.906427,8.481459,0.764409,6.492453,-0.051209,-6.326453,-0.066991,-0.974432
1657832,3300,3.300000,0,1.169300,0.747800,0.170000,0.392460,0.747800,0.170000,12.915263,8.493076,0.764409,6.492453,-0.016609,-6.322453,-0.021728,-0.973816
1657882,3350,3.350000,0,1.165300,0.608400,0.177300,0.392460,0.608400,0.177300,12.871082,8.435068,0.764409,6.492453,-0.156009,-6.315153,-0.204091,-0.972691
1657932,3400,3.400000,0,1.162900,0.756700,0.174900,0.392460,0.756700,0.174900,12.844573,8.400359,0.764409,6.492453,-0.007709,-6.317553,-0.010085,-0.973061
1657982,3450,3.450000,0,1.166100,0.565700,0.177300,0.392460,0.565700,0.177300,12.879918,8.446654,0.764409,6.492453,-0.198709,-6.315153,-0.259951,-0.972691
1658032,3500,3.500000,0,1.162100,0.705900,0.181300,0.392460,0.705900,0.181300,12.835737,8.388805,0.764409,6.492453,-0.058509,-6.311153,-0.076541,-0.972075
1658082,3550,3.550000,0,1.164500,0.819600,0.133000,0.392460,0.819600,0.133000,12.862245,8.423491,0.764409,6.492453,0.055191,-6.359453,0.072201,-0.979515
1658132,3600,3.600000,0,1.176600,1.182200,0.207900,0.392460,1.182200,0.207900,12.995893,8.599452,0.764409,6.492453,0.417791,-6.284553,0.546555,-0.967978
1658182,3650,3.650000,0,1.179000,0.867900,0.171600,0.392460,0.867900,0.171600,13.022402,8.634570,0.764409,6.492453,0.103491,-6.320853,0.135387,-0.973569
1658232,3700,3.700000,0,1.186200,0.431100,0.184500,0.392460,0.431100,0.184500,13.101928,8.740353,0.764409,6.492453,-0.333309,-6.307953,-0.436035,-0.971582
1658282,3750,3.750000,0,1.195900,0.373900,0.162800,0.392460,0.373900,0.162800,13.209068,8.883883,0.764409,6.492453,-0.390509,-6.329653,-0.510864,-0.974925
